cultivar,exp,dai,isolate,species,genotype,spike,spikelets,above,central,below,total,sev
BRS Guamirim,2,24,09tr092,F. meridionale,NIV,5,19,1,1,4,6,31.58
BRS Guamirim,2,24,09tr092,F. meridionale,NIV,6,17,1,1,6,8,47.06
BRS 194,1,4,09tr109,F. meridionale,NIV,1,23,0,1,0,1,4.35
BRS 194,1,4,09tr109,F. meridionale,NIV,2,20,0,1,0,1,5
BRS 194,1,4,09tr109,F. meridionale,NIV,3,18,0,1,0,1,5.56
BRS 194,1,4,09tr109,F. meridionale,NIV,4,18,0,1,0,1,5.56
BRS 194,1,7,09tr109,F. meridionale,NIV,1,23,0,1,0,1,4.35
BRS 194,1,7,09tr109,F. meridionale,NIV,2,20,0,1,0,1,5
BRS 194,1,7,09tr109,F. meridionale,NIV,3,18,0,1,0,1,5.56
BRS 194,1,7,09tr109,F. meridionale,NIV,4,18,0,1,0,1,5.56
BRS 194,1,11,09tr109,F. meridionale,NIV,1,23,0,1,0,1,4.35
BRS 194,1,11,09tr109,F. meridionale,NIV,2,20,0,1,0,1,5
BRS 194,1,11,09tr109,F. meridionale,NIV,3,18,0,1,0,1,5.56
BRS 194,1,11,09tr109,F. meridionale,NIV,4,18,0,1,0,1,5.56
BRS 194,1,15,09tr109,F. meridionale,NIV,1,23,0,1,0,1,4.35
BRS 194,1,15,09tr109,F. meridionale,NIV,2,20,0,1,0,1,5
BRS 194,1,15,09tr109,F. meridionale,NIV,3,18,0,1,0,1,5.56
BRS 194,1,15,09tr109,F. meridionale,NIV,4,18,0,1,0,1,5.56
BRS 194,1,19,09tr109,F. meridionale,NIV,1,23,0,1,2,3,13.04
BRS 194,1,19,09tr109,F. meridionale,NIV,2,20,0,1,0,1,5
BRS 194,1,19,09tr109,F. meridionale,NIV,3,18,0,1,0,1,5.56
BRS 194,1,19,09tr109,F. meridionale,NIV,4,18,0,1,0,1,5.56
BRS 194,2,4,09tr109,F. meridionale,NIV,1,16,3,1,0,4,25
BRS 194,2,4,09tr109,F. meridionale,NIV,2,19,0,0,0,0,0
BRS 194,2,4,09tr109,F. meridionale,NIV,3,14,0,0,0,0,0
BRS 194,2,4,09tr109,F. meridionale,NIV,4,18,0,0,0,0,0
